                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5911,                 3.4675,                 3.2723,                 1.8834,                0.34704,                0.17384,                0.12399,                0.06605,                0.37038,                0.06313,                 0.0423,                0.01726,                 1.6411,                 3.2592,                 2.7978,                  2.034,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5766,                  3.479,                 3.2706,                 1.8743,                0.27371,                0.16003,                0.11391,                  0.061,                 0.2443,                0.06207,                0.04081,                0.01755,                 1.6151,                 3.0745,                 2.8367,                 2.0072,               0.008812,               0.008812,               0.008812
                     26,                 1.5716,                 3.4524,                 3.2368,                 1.8729,                0.32788,                0.17673,                0.12745,                0.06938,                0.29622,                0.06967,                0.04789,                0.02065,                 1.6465,                 3.0708,                 2.8057,                 2.0206,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5643,                 3.4429,                 3.2036,                 1.8673,                0.30748,                0.18964,                0.13554,                  0.075,                0.23104,                0.07647,                0.04694,                0.01941,                 1.5728,                 3.0372,                 2.7047,                 1.9688,               0.008713,               0.008713,               0.008713
                     28,                 1.5679,                 3.4442,                 3.2007,                  1.863,                0.29836,                 0.1865,                0.13269,                0.07301,                0.27637,                 0.0734,                0.04739,                0.02037,                 1.6048,                 3.0454,                 2.7342,                 1.9908,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5644,                 3.4656,                 3.2012,                 1.8659,                0.37096,                0.18712,                0.14059,                0.07666,                0.32254,                 0.0733,                0.04946,                0.02051,                 1.6052,                 3.0393,                 2.7487,                 2.0099,               0.008614,               0.008614,               0.008614
                     30,                 1.5479,                 3.4417,                  3.142,                 1.8502,                0.34719,                0.19378,                0.13923,                0.07563,                 0.3028,                 0.0753,                0.05341,                0.02244,                 1.5992,                 3.0363,                 2.7082,                 1.9909,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5492,                  3.405,                 3.1162,                 1.8499,                0.29046,                0.20053,                0.14062,                 0.0754,                0.36811,                0.06665,                0.04994,                0.02024,                 1.6013,                  3.053,                 2.7707,                 1.9804,               0.008515,               0.008515,               0.008515
                     32,                 1.5409,                 3.4177,                 3.1101,                 1.8439,                0.32271,                0.19808,                0.14596,                0.07889,                0.33197,                0.07672,                0.05232,                0.02194,                 1.5949,                 3.0371,                 2.6834,                 1.9972,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5381,                 3.3967,                   3.07,                 1.8496,                0.33121,                0.20928,                0.14903,                0.08028,                0.26331,                0.06971,                0.04989,                0.02159,                 1.6124,                  3.048,                  2.678,                 1.9874,               0.008416,               0.008416,               0.008416
                     34,                 1.5294,                 3.4131,                 3.0831,                 1.8409,                0.31459,                0.21882,                0.15541,                0.08463,                0.27379,                 0.0754,                  0.052,                0.02301,                  1.554,                 2.9814,                 2.6093,                 1.9502,              0.0083665,              0.0083665,              0.0083665
                     35,                  1.537,                 3.4102,                  3.048,                 1.8384,                0.35843,                0.21691,                0.15989,                0.08814,                0.27839,                0.07817,                0.05562,                0.02341,                 1.5451,                 2.9673,                 2.7905,                 1.9274,               0.008317,               0.008317,               0.008317
                     36,                 1.5296,                 3.3888,                  3.039,                  1.841,                0.31976,                0.20455,                0.15993,                0.08739,                0.29131,                 0.0852,                0.05917,                0.02446,                 1.5745,                 3.0075,                 2.5878,                 1.9567,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5294,                 3.3904,                 3.0246,                 1.8311,                0.31293,                0.21768,                0.15981,                0.08714,                0.30969,                0.08344,                0.05968,                0.02514,                 1.5666,                 2.9791,                 2.5917,                 1.9396,               0.008218,               0.008218,               0.008218
                     38,                 1.5156,                 3.3904,                 3.0101,                 1.8287,                0.27417,                0.22368,                0.16374,                0.09173,                0.24894,                0.07981,                0.05976,                0.02551,                 1.5493,                 2.9784,                  2.559,                 1.9453,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5185,                 3.3867,                 2.9984,                 1.8293,                0.26258,                0.22157,                0.16295,                 0.0893,                0.26195,                0.07819,                0.05496,                0.02335,                 1.5383,                 2.9541,                  2.558,                  1.942,               0.008119,               0.008119,               0.008119
                     40,                 1.5119,                 3.3854,                 2.9617,                   1.82,                0.29718,                  0.227,                0.17264,                0.09731,                 0.3029,                0.08425,                0.06344,                 0.0264,                 1.5115,                 2.9401,                 2.5115,                 1.9073,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5096,                  3.357,                 2.9599,                 1.8202,                0.30657,                0.23667,                0.17457,                0.09735,                0.27681,                 0.0911,                0.06298,                 0.0259,                 1.5192,                 2.9451,                 2.4767,                  1.909,                0.00802,                0.00802,                0.00802
                     42,                 1.5063,                 3.3453,                 2.9385,                 1.8225,                0.28788,                0.23331,                0.17605,                0.09742,                 0.3264,                0.07623,                0.06178,                0.02555,                 1.5126,                 2.9392,                 2.4764,                 1.9126,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.5079,                 3.3402,                 2.9358,                 1.8185,                 0.3421,                0.23513,                0.18013,                0.10031,                0.26276,                0.08577,                0.06041,                0.02538,                 1.4868,                 2.9166,                 2.4643,                 1.8973,               0.007921,               0.007921,               0.007921
                     44,                 1.4969,                 3.3468,                 2.8896,                 1.8046,                0.33222,                0.24604,                0.18451,                0.10126,                0.25681,                0.08943,                0.05979,                0.02479,                 1.5043,                 2.9193,                 2.4631,                 1.9006,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5109,                 3.3583,                 2.9116,                 1.8167,                0.32327,                0.25272,                0.19463,                0.10913,                0.31001,                0.08613,                0.06119,                0.02619,                 1.4809,                  2.901,                 2.3961,                 1.8729,               0.007822,               0.007822,               0.007822
                     46,                 1.4897,                 3.3159,                 2.8651,                 1.8061,                0.27513,                 0.2569,                0.18494,                0.10326,                0.22265,                0.09718,                0.06198,                0.02687,                 1.4967,                 2.9186,                 2.4513,                 1.8973,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4852,                 3.3381,                 2.8818,                  1.803,                0.27721,                0.24963,                0.18233,                0.10311,                0.26797,                0.08307,                 0.0628,                0.02686,                 1.4921,                 2.9242,                 2.4429,                 1.8938,               0.007723,               0.007723,               0.007723
                     48,                 1.4897,                 3.3383,                 2.8555,                 1.8044,                0.32535,                 0.2425,                0.18781,                 0.1053,                0.25713,                0.09202,                0.06587,                  0.028,                 1.4899,                  2.898,                 2.4072,                  1.889,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4896,                 3.3308,                 2.8492,                 1.8031,                0.30156,                0.25955,                 0.1989,                0.11401,                0.22818,                0.09281,                 0.0622,                0.02735,                 1.4538,                 2.8891,                 2.3832,                 1.8565,               0.007624,               0.007624,               0.007624
                     50,                 1.4771,                 3.3207,                 2.8323,                 1.7857,                 0.3032,                0.25617,                0.19873,                0.11262,                0.23327,                0.09611,                0.06561,                0.02774,                 1.4706,                 2.8978,                 2.3768,                 1.8706,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.481,                 3.3319,                 2.8237,                 1.7937,                 0.3387,                0.25181,                0.19008,                0.10838,                0.26583,                0.09539,                0.06657,                0.02827,                 1.4718,                 2.8791,                 2.3858,                 1.8787,               0.007525,               0.007525,               0.007525
                     52,                 1.4863,                 3.3177,                 2.8154,                 1.7986,                  0.323,                0.26885,                0.20392,                0.11534,                0.24258,                0.09763,                0.07434,                0.03056,                 1.4685,                 2.8849,                 2.3586,                  1.869,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.468,                  3.282,                 2.7856,                 1.7836,                0.31233,                0.27147,                0.20922,                0.11833,                0.28375,                0.09518,                 0.0737,                0.03059,                 1.4519,                 2.8659,                 2.3413,                 1.8554,               0.007426,               0.007426,               0.007426
                     54,                 1.4659,                 3.3127,                 2.7798,                 1.7843,                0.28574,                0.27749,                0.20784,                0.11848,                0.21243,                0.09925,                0.07164,                0.03079,                 1.4501,                 2.8887,                 2.3345,                 1.8595,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4694,                 3.3064,                 2.7619,                 1.7887,                0.29917,                 0.2645,                0.20852,                0.11994,                0.24146,                0.10341,                0.07496,                0.03263,                  1.464,                 2.8831,                  2.356,                 1.8601,               0.007327,               0.007327,               0.007327
                     56,                 1.4743,                 3.2886,                 2.7532,                 1.7892,                0.30943,                0.26183,                0.21051,                0.12007,                0.28829,                0.10063,                0.07567,                0.03063,                 1.4474,                 2.8786,                 2.3356,                 1.8577,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4613,                 3.2915,                 2.7422,                 1.7812,                0.31596,                0.28143,                0.21012,                 0.1216,                0.20357,                0.11116,                0.07414,                0.03137,                 1.4565,                 2.8655,                 2.3132,                 1.8497,               0.007228,               0.007228,               0.007228
                     58,                 1.4681,                 3.2894,                 2.7319,                 1.7827,                 0.3052,                0.26868,                0.20935,                0.11904,                0.24065,                0.10576,                 0.0718,                0.03041,                 1.4544,                 2.8767,                 2.3207,                 1.8496,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4557,                 3.2783,                 2.7385,                 1.7728,                0.32079,                0.28609,                0.21503,                  0.124,                0.21928,                0.10143,                0.07167,                0.03028,                 1.4391,                 2.8551,                 2.2811,                 1.8419,               0.007129,               0.007129,               0.007129
                     60,                  1.459,                 3.2643,                 2.6891,                 1.7762,                 0.3246,                0.26283,                0.21304,                0.12366,                0.26177,                0.10249,                0.07374,                0.03048,                 1.4236,                 2.8495,                 2.3008,                 1.8334,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4479,                 3.2704,                 2.6807,                 1.7633,                0.31683,                0.28202,                0.22067,                0.12809,                0.21331,                0.11322,                0.07964,                0.03272,                 1.4199,                 2.8545,                 2.2743,                 1.8368,                0.00703,                0.00703,                0.00703
                     62,                  1.448,                   3.27,                 2.6897,                 1.7711,                0.29642,                0.28664,                 0.2213,                0.12943,                0.21706,                0.09949,                 0.0808,                0.03456,                 1.4255,                 2.8454,                 2.2861,                 1.8339,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4429,                 3.2707,                 2.6756,                 1.7647,                0.33268,                0.28124,                0.22623,                0.13122,                0.23524,                0.10546,                0.07976,                 0.0343,                 1.4224,                 2.8489,                 2.2953,                 1.8275,               0.006931,               0.006931,               0.006931
                     64,                 1.4422,                 3.2632,                 2.6606,                 1.7621,                 0.3109,                0.28467,                0.22197,                0.12875,                0.21633,                0.10892,                0.08007,                0.03303,                 1.4161,                   2.85,                 2.3091,                 1.8264,              0.0068815,              0.0068815,              0.0068815
