                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5631,                 3.4559,                 3.2254,                 1.8674,                0.35925,                 0.1829,                0.12622,                0.06864,                0.31969,                0.07144,                 0.0423,                0.01684,                 1.6611,                 3.1417,                 2.8472,                 2.0428,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5605,                 3.4763,                 3.2111,                 1.8677,                0.33019,                0.19067,                0.13769,                0.07362,                0.33479,                0.06708,                0.04664,                0.01994,                 1.6304,                 3.0859,                 2.7442,                 2.0165,               0.008812,               0.008812,               0.008812
                     26,                 1.5612,                 3.4526,                 3.1793,                 1.8631,                0.32544,                0.20126,                0.14159,                0.07675,                0.29199,                 0.0755,                0.04886,                0.02077,                 1.6223,                 3.0905,                 2.7604,                 1.9924,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5537,                  3.456,                 3.1538,                   1.86,                0.27824,                0.20307,                0.14024,                0.07699,                0.28149,                0.08173,                0.05326,                0.02164,                 1.6022,                 3.0782,                 2.7713,                  1.992,               0.008713,               0.008713,               0.008713
                     28,                 1.5656,                 3.4544,                 3.1599,                 1.8619,                  0.318,                0.20193,                0.14381,                0.07926,                0.32839,                 0.0802,                0.05422,                0.02191,                 1.5805,                 3.0412,                 2.6677,                 1.9721,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5477,                 3.4218,                 3.1196,                 1.8494,                0.33509,                 0.2128,                0.15471,                0.08553,                0.33033,                0.07452,                0.05351,                0.02327,                 1.5869,                 3.0402,                 2.6538,                 1.9556,               0.008614,               0.008614,               0.008614
                     30,                 1.5428,                 3.4372,                 3.0999,                 1.8483,                0.30712,                0.21269,                0.15387,                0.08568,                0.32412,                0.07941,                0.05373,                0.02208,                 1.5677,                 3.0262,                 2.6687,                 1.9667,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5286,                 3.4163,                 3.0539,                 1.8353,                0.30041,                0.20868,                 0.1499,                0.08502,                 0.2537,                0.08185,                0.05481,                0.02358,                 1.5546,                 3.0207,                 2.6327,                 1.9567,               0.008515,               0.008515,               0.008515
                     32,                 1.5316,                 3.4087,                 3.0484,                 1.8387,                0.32816,                0.19205,                0.14738,                0.08204,                0.27659,                0.07642,                0.05128,                0.02216,                 1.5473,                 3.0072,                 2.6459,                 1.9446,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5127,                 3.3802,                 3.0269,                 1.8283,                 0.2971,                0.22536,                0.16281,                0.09257,                0.24539,                0.08142,                0.05969,                0.02517,                 1.5369,                 2.9988,                 2.6093,                 1.9363,               0.008416,               0.008416,               0.008416
