                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5905,                 3.2456,                  3.133,                 1.8845,                 0.2728,                0.20589,                0.13643,                0.07553,                0.23143,                0.06833,                 0.0467,                0.02015,                 1.5708,                 2.7862,                 2.8076,                 2.0017,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5807,                 3.2481,                 3.1114,                 1.8748,                0.32728,                0.20208,                0.14519,                0.08062,                0.25816,                0.07296,                0.04777,                0.02049,                 1.5502,                 2.7531,                 2.6179,                 1.9966,               0.008812,               0.008812,               0.008812
                     26,                 1.5614,                 3.2441,                 3.0544,                 1.8647,                0.27572,                0.21019,                0.14592,                0.08085,                0.28776,                0.06773,                 0.0466,                0.01978,                 1.5774,                 2.7824,                 2.6203,                 2.0236,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5602,                 3.2435,                 3.0521,                 1.8672,                 0.3366,                0.21349,                0.15618,                0.08732,                0.28342,                 0.0718,                0.05211,                0.02299,                 1.5663,                 2.7504,                 2.5903,                 1.9951,               0.008713,               0.008713,               0.008713
                     28,                 1.5764,                  3.258,                 3.0572,                  1.874,                0.32865,                0.21001,                0.15997,                0.09146,                 0.2755,                0.07573,                0.05585,                0.02362,                 1.5303,                 2.7326,                 2.5356,                 1.9603,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5503,                 3.2279,                 2.9927,                 1.8557,                 0.3215,                 0.2133,                0.16287,                0.09187,                0.26739,                0.07133,                0.05455,                0.02342,                 1.5339,                 2.7421,                 2.5553,                 1.9715,               0.008614,               0.008614,               0.008614
                     30,                 1.5618,                 3.2381,                 2.9963,                 1.8588,                0.30313,                0.22263,                0.15674,                 0.0869,                0.23649,                0.07165,                 0.0464,                0.02028,                 1.5124,                 2.7117,                 2.5846,                 1.9555,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5444,                 3.2109,                 2.9564,                 1.8444,                0.28247,                0.22532,                0.15656,                0.08738,                 0.2184,                0.07609,                0.05102,                0.02227,                 1.5337,                 2.7121,                 2.5762,                 1.9604,               0.008515,               0.008515,               0.008515
                     32,                 1.5418,                  3.202,                 2.9446,                 1.8447,                0.30987,                0.22232,                0.16495,                0.09495,                0.28937,                0.07682,                0.06203,                0.02616,                  1.506,                 2.7144,                 2.5455,                 1.9672,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5492,                 3.2034,                 2.9442,                 1.8531,                0.28045,                0.23338,                0.17605,                0.10088,                0.27366,                0.07715,                0.06128,                0.02681,                 1.5044,                 2.6884,                 2.4741,                 1.9454,               0.008416,               0.008416,               0.008416
