                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5857,                 3.2419,                 3.1377,                 1.8847,                0.28908,                 0.2057,                0.14492,                0.08169,                0.25588,                0.06865,                0.04942,                0.02138,                 1.5461,                 2.7637,                 2.6324,                   1.99,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5828,                 3.2489,                 3.1276,                 1.8789,                0.33278,                0.21501,                0.14859,                0.08235,                0.29616,                0.06986,                 0.0449,                0.01934,                  1.537,                 2.7521,                 2.6312,                 1.9925,               0.008812,               0.008812,               0.008812
                     26,                 1.5622,                 3.2406,                 3.0697,                 1.8656,                0.30096,                0.19857,                0.14257,                0.07855,                  0.252,                0.06477,                0.04505,                0.01895,                 1.5534,                 2.7483,                  2.632,                  2.011,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5616,                 3.2408,                  3.062,                 1.8689,                0.32431,                0.21796,                 0.1565,                0.08739,                0.23006,                0.07706,                0.05238,                0.02272,                 1.5641,                  2.731,                 2.6004,                 2.0016,               0.008713,               0.008713,               0.008713
                     28,                 1.5735,                 3.2531,                 3.0683,                 1.8776,                0.30994,                0.21048,                0.15671,                0.08938,                0.27995,                0.07066,                0.05253,                0.02265,                 1.5298,                 2.7362,                 2.5695,                 1.9836,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5544,                  3.229,                 2.9962,                 1.8585,                0.33994,                0.22006,                0.15877,                0.08916,                0.26001,                0.06797,                  0.051,                0.02222,                 1.5469,                 2.7397,                 2.5815,                 1.9786,               0.008614,               0.008614,               0.008614
                     30,                  1.561,                 3.2374,                 2.9979,                 1.8601,                0.33879,                0.23273,                0.16097,                 0.0886,                0.25477,                0.07368,                0.04976,                0.02124,                 1.5224,                 2.7314,                 2.5395,                 1.9569,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5439,                 3.2096,                 2.9586,                  1.849,                0.33423,                0.21913,                0.15962,                0.08911,                0.23283,                0.07825,                0.05421,                0.02354,                 1.5189,                 2.7031,                 2.5592,                 1.9542,               0.008515,               0.008515,               0.008515
                     32,                 1.5446,                 3.1999,                 2.9453,                 1.8506,                0.32216,                0.22598,                0.17068,                0.09554,                0.29354,                0.07635,                0.06019,                 0.0255,                 1.5346,                  2.707,                 2.5316,                 1.9688,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5513,                  3.206,                 2.9595,                 1.8556,                0.29256,                0.22937,                0.16329,                0.08996,                0.24759,                0.08026,                0.05586,                0.02398,                  1.542,                 2.7214,                 2.5375,                 1.9724,               0.008416,               0.008416,               0.008416
                     34,                 1.5397,                 3.2145,                 2.9132,                 1.8422,                0.28115,                0.24825,                0.17601,                0.09854,                0.19633,                0.08018,                0.05603,                0.02472,                 1.5054,                 2.6825,                 2.4446,                 1.9433,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5418,                 3.2202,                 2.8998,                  1.845,                 0.3137,                0.22957,                0.17402,                0.09672,                0.27225,                0.08256,                0.05708,                0.02443,                 1.5106,                  2.683,                 2.4669,                 1.9499,               0.008317,               0.008317,               0.008317
                     36,                 1.5226,                 3.1843,                 2.8562,                 1.8318,                 0.3055,                0.23577,                0.18243,                0.10281,                0.29154,                0.07889,                0.06221,                0.02632,                 1.5072,                 2.6598,                 2.4329,                 1.9378,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5302,                 3.1831,                 2.8682,                 1.8385,                0.31377,                0.23705,                0.18004,                0.10415,                0.28449,                0.07975,                0.05816,                0.02513,                 1.4609,                 2.6519,                 2.4005,                 1.9065,               0.008218,               0.008218,               0.008218
                     38,                 1.5267,                 3.1806,                  2.845,                 1.8304,                0.30148,                0.23954,                0.18513,                0.10652,                0.25079,                0.08699,                0.06481,                0.02771,                 1.4721,                 2.6629,                  2.379,                 1.9217,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5208,                 3.1595,                 2.8337,                 1.8322,                0.30289,                 0.2516,                0.19086,                0.10886,                0.23405,                0.08363,                0.06556,                0.02805,                  1.483,                  2.655,                 2.3623,                 1.9241,               0.008119,               0.008119,               0.008119
                     40,                 1.5103,                 3.1645,                  2.814,                 1.8195,                0.31662,                0.24266,                0.18811,                0.10852,                0.20739,                0.08755,                0.05972,                0.02639,                 1.4589,                 2.6641,                 2.3782,                 1.9201,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5117,                  3.154,                 2.7938,                 1.8153,                0.28739,                0.26877,                0.19808,                0.11167,                0.21204,                0.08949,                0.06668,                0.02742,                 1.4513,                 2.6213,                 2.3367,                 1.8984,                0.00802,                0.00802,                0.00802
                     42,                 1.4977,                 3.1453,                 2.7624,                 1.8078,                0.30384,                 0.2602,                0.19233,                0.10843,                0.24551,                0.08643,                0.06149,                0.02653,                 1.4865,                 2.6442,                 2.3453,                 1.9198,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.5023,                 3.1507,                 2.7443,                 1.8095,                0.32508,                0.27099,                0.20218,                0.11387,                0.21011,                0.09324,                0.06406,                0.02734,                 1.4519,                 2.6151,                 2.3076,                 1.8894,               0.007921,               0.007921,               0.007921
                     44,                 1.5025,                  3.137,                 2.7377,                 1.8123,                0.32831,                 0.2767,                0.21724,                0.12358,                0.23433,                0.09051,                0.06811,                 0.0288,                 1.4373,                 2.6035,                 2.2437,                 1.8758,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5017,                 3.1425,                 2.7266,                 1.8096,                0.30704,                0.28341,                0.20466,                0.11652,                 0.1774,                 0.0973,                0.06056,                0.02582,                 1.4424,                 2.6244,                 2.3421,                 1.8868,               0.007822,               0.007822,               0.007822
                     46,                 1.4939,                 3.1391,                 2.6992,                 1.8018,                0.29611,                 0.2794,                0.19206,                0.10948,                0.19398,                0.09007,                0.06138,                0.02576,                 1.4246,                 2.6117,                 3.3998,                 1.8719,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4971,                  3.137,                 2.6951,                 1.8057,                0.30699,                0.28047,                0.20449,                0.11815,                0.24768,                0.09579,                0.07008,                0.02931,                 1.4321,                 2.5941,                 2.4382,                 1.8801,               0.007723,               0.007723,               0.007723
                     48,                 1.4905,                 3.1073,                 2.6792,                 1.7932,                0.28498,                0.28336,                0.20868,                0.12042,                0.23192,                0.09155,                0.07117,                0.03032,                 1.4425,                 2.6134,                 2.2778,                 1.8954,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4881,                 3.1145,                 2.6761,                 1.8047,                 0.2804,                0.29583,                0.22329,                0.13034,                0.18741,                0.10708,                0.07461,                0.03151,                 1.4098,                  2.587,                 2.2183,                 1.8557,               0.007624,               0.007624,               0.007624
                     50,                 1.4865,                 3.0957,                 2.6517,                 1.7947,                0.28814,                0.28682,                 0.2071,                0.11859,                0.22504,                0.09408,                0.06764,                0.02913,                 1.4477,                 2.6149,                 2.2569,                  1.888,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4828,                 3.1349,                 2.6652,                  1.791,                0.28475,                0.30095,                0.21382,                0.12399,                0.19615,                0.09963,                0.07251,                0.03119,                 1.4247,                 2.5952,                 2.2168,                 1.8654,               0.007525,               0.007525,               0.007525
                     52,                 1.4805,                 3.1005,                 2.6459,                  1.798,                0.29864,                0.28419,                0.21607,                0.12694,                0.20584,                0.09813,                0.07338,                0.03135,                 1.4069,                 2.5973,                 2.2042,                 1.8521,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4709,                 3.1079,                 2.6145,                 1.7822,                0.30084,                0.29663,                0.21231,                0.12462,                0.22628,                0.09976,                0.07377,                0.03137,                 1.4065,                 2.5825,                 2.2105,                 1.8503,               0.007426,               0.007426,               0.007426
                     54,                 1.4805,                  3.116,                 2.5982,                 1.7861,                0.30896,                0.29666,                0.21459,                0.12454,                0.19108,                 0.1072,                0.07255,                0.03063,                 1.4155,                 2.5799,                 2.2754,                 1.8518,              0.0073765,              0.0073765,              0.0073765
