                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6024,                 3.1455,                 3.2395,                 1.9087,                0.31753,                0.18565,                0.12571,                0.06545,                 0.2935,                0.05014,                0.03234,                0.01397,                 1.5538,                 2.6647,                 2.7161,                 2.0092,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5998,                 3.1584,                 3.2337,                 1.9017,                0.31145,                0.18654,                0.12373,                 0.0655,                0.31108,                0.05275,                 0.0342,                0.01405,                 1.5429,                 2.6391,                 2.7366,                 2.0047,               0.008812,               0.008812,               0.008812
                     26,                 1.5802,                  3.151,                 3.1836,                 1.8887,                0.29847,                0.19745,                0.12633,                 0.0644,                0.23503,                0.05929,                0.03445,                0.01405,                 1.5978,                  2.635,                 2.7127,                 2.0468,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5755,                 3.1462,                 3.1735,                 1.8901,                0.33973,                0.19007,                0.13009,                0.06813,                 0.2992,                0.05784,                0.03887,                  0.016,                 1.5881,                 2.6388,                 2.7132,                 2.0372,               0.008713,               0.008713,               0.008713
                     28,                 1.5857,                  3.158,                 3.1806,                 1.8997,                0.34657,                 0.1891,                0.13276,                0.07154,                 0.3127,                0.05868,                0.03792,                0.01625,                 1.5356,                 2.6069,                 2.6574,                 2.0081,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5665,                 3.1275,                 3.1046,                 1.8789,                0.36028,                0.19729,                0.13695,                0.07414,                0.27599,                0.05849,                0.03907,                0.01597,                 1.5364,                 2.6072,                 2.6253,                 1.9934,               0.008614,               0.008614,               0.008614
                     30,                 1.5715,                 3.1382,                 3.1117,                 1.8845,                0.32112,                0.20692,                0.14241,                0.07706,                0.33382,                0.05847,                0.03897,                0.01665,                 1.5134,                 2.5816,                 2.5898,                 1.9703,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5611,                 3.1153,                 3.0774,                 1.8723,                 0.3399,                0.19801,                 0.1311,                0.07142,                0.32385,                0.05873,                 0.0397,                0.01582,                 1.5139,                 2.5815,                 2.7018,                 1.9793,               0.008515,               0.008515,               0.008515
                     32,                 1.5537,                 3.1006,                   3.05,                 1.8666,                0.29168,                0.20002,                0.13277,                0.07201,                0.29518,                0.05804,                0.04058,                0.01727,                 1.5383,                 2.5993,                 2.6499,                 2.0025,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5609,                 3.1023,                 3.0542,                 1.8757,                 0.2953,                 0.2177,                0.14973,                0.08118,                0.25852,                0.06611,                0.04258,                0.01691,                 1.5019,                 2.5692,                 2.5538,                 1.9755,               0.008416,               0.008416,               0.008416
                     34,                  1.548,                 3.1069,                  3.004,                   1.86,                0.28853,                 0.2311,                0.14968,                0.08189,                0.18819,                0.06929,                0.04108,                0.01703,                 1.4947,                 2.5611,                 2.6014,                 1.9659,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5534,                 3.1213,                 2.9981,                 1.8648,                0.32638,                0.22281,                 0.1525,                0.08296,                0.29809,                 0.0665,                0.04123,                0.01746,                 1.4919,                 2.5528,                 2.5348,                 1.9517,               0.008317,               0.008317,               0.008317
                     36,                 1.5384,                 3.0956,                 2.9609,                 1.8496,                0.32621,                0.22976,                0.16077,                0.08652,                0.29383,                0.06244,                0.04161,                0.01671,                 1.4863,                 2.5221,                 2.4802,                 1.9411,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5396,                 3.0856,                 2.9806,                 1.8615,                0.36068,                0.22246,                0.16328,                0.08914,                0.27107,                0.06378,                0.04302,                0.01867,                 1.4537,                 2.5299,                 2.4851,                 1.9187,               0.008218,               0.008218,               0.008218
                     38,                 1.5367,                 3.0841,                 2.9486,                 1.8527,                0.30304,                0.22727,                0.15672,                0.08623,                0.23427,                0.06713,                0.04323,                0.01726,                 1.4679,                 2.5186,                 2.4577,                 1.9363,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5319,                 3.0607,                 2.9344,                 1.8527,                0.32981,                0.23369,                0.17362,                 0.0947,                0.27372,                0.06668,                0.04445,                0.01832,                 1.4668,                  2.491,                  2.417,                 1.9303,               0.008119,               0.008119,               0.008119
                     40,                 1.5243,                 3.0617,                 2.9096,                 1.8402,                 0.2957,                0.23451,                0.16627,                0.09083,                0.27449,                0.06177,                0.04431,                0.01773,                 1.4738,                 2.5253,                 2.4333,                  1.925,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5211,                 3.0527,                 2.8948,                 1.8346,                0.30918,                0.24852,                 0.1793,                0.09938,                0.22538,                0.07593,                 0.0489,                0.01972,                 1.4486,                 2.4952,                 2.3766,                 1.9031,                0.00802,                0.00802,                0.00802
                     42,                 1.5101,                 3.0491,                 2.8534,                 1.8305,                0.29787,                0.24019,                0.16375,                0.08916,                0.26977,                 0.0708,                0.04885,                0.01949,                 1.4712,                 2.5081,                 2.4461,                 1.9252,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.5142,                 3.0584,                 2.8566,                 1.8309,                 0.3251,                0.25705,                0.17776,                0.09663,                0.25123,                0.07286,                0.04902,                0.01975,                  1.455,                 2.4869,                 2.3484,                 1.9087,               0.007921,               0.007921,               0.007921
                     44,                 1.5209,                 3.0387,                 2.8381,                 1.8352,                0.29067,                0.26778,                0.18623,                0.10239,                0.22631,                0.07418,                0.04875,                0.01947,                 1.4431,                 2.4736,                 2.3069,                 1.8986,              0.0078715,              0.0078715,              0.0078715
